index,id,language,setCode,translation
60,61,Chinese Simplified,8ED,核心系列第八版
61,62,Chinese Traditional,8ED,核心系列第八版
62,63,French,8ED,Huitième édition
63,64,German,8ED,Hauptset Achte Edition
64,65,Italian,8ED,Set Base Ottava Edizione
65,66,Japanese,8ED,第８版 基本セット
66,67,Korean,8ED,코어세트 8판
67,68,Portuguese (Brazil),8ED,Oitava Edição
68,69,Russian,8ED,Базовый выпуск Eighth Edition
69,70,Spanish,8ED,Colección Básica - Octava edición
70,71,Chinese Simplified,9ED,核心系列 第九版
71,72,Chinese Traditional,9ED,核心系列 第九版
72,73,French,9ED,Neuvième édition
73,74,German,9ED,Hauptset Neunte Edition
74,75,Italian,9ED,Set Base Nona Edizione
75,76,Japanese,9ED,第９版 基本セット
76,77,Korean,9ED,코어세트 9판
77,78,Portuguese (Brazil),9ED,Nona Edição
78,79,Russian,9ED,Базовый выпуск Девятая редакция
79,80,Spanish,9ED,Colección Básica - Novena edición
80,81,Chinese Simplified,AER,乙太之乱
81,82,Chinese Traditional,AER,乙太之亂
82,83,French,AER,La révolte éthérique
83,84,German,AER,Äther-Rebellion
84,85,Italian,AER,Rivolta dell’Etere
85,86,Japanese,AER,『霊気紛争』
86,87,Korean,AER,에테르 봉기
87,88,Portuguese (Brazil),AER,Revolta do Éter
88,89,Russian,AER,«Эфирный Бунт»
89,90,Spanish,AER,La revuelta del éter
90,91,Chinese Simplified,AKH,阿芒凯
91,92,Chinese Traditional,AKH,阿芒凱
92,93,French,AKH,Amonkhet
93,94,German,AKH,Amonkhet
94,95,Italian,AKH,Amonkhet
95,96,Japanese,AKH,『アモンケット』
96,97,Korean,AKH,아몬케트
97,98,Portuguese (Brazil),AKH,Amonkhet
98,99,Russian,AKH,Амонхет
99,100,Spanish,AKH,Amonkhet
100,101,Chinese Simplified,ALA,阿拉若断片
101,102,Chinese Traditional,ALA,阿拉若斷片
102,103,French,ALA,Les éclats d'Alara
103,104,German,ALA,Fragmente von Alara
104,105,Italian,ALA,Frammenti di Alara
105,106,Japanese,ALA,アラーラの断片
106,107,Korean,ALA,알라라의 파편
107,108,Portuguese (Brazil),ALA,Fragmentos de Alara
108,109,Russian,ALA,Осколки Алары
109,110,Spanish,ALA,Fragmentos de Alara
110,111,Chinese Simplified,APC,启示录
111,112,Chinese Traditional,APC,啟示錄
112,113,French,APC,Apocalypse
113,114,German,APC,Apokalypse
114,115,Italian,APC,Apocalisse
115,116,Japanese,APC,アポカリプス
116,117,Korean,APC,파멸
117,118,Portuguese (Brazil),APC,Apocalipse
118,119,Russian,APC,Apocalypse
119,120,Spanish,APC,Apocalipsis
120,121,Chinese Simplified,ARB,阿拉若新生
121,122,Chinese Traditional,ARB,阿拉若新生
122,123,French,ARB,La renaissance d'Alara
123,124,German,ARB,Alara: Die Erneuerung
124,125,Italian,ARB,Rinascita di Alara
125,126,Japanese,ARB,アラーラ再誕
126,127,Korean,ARB,신생 알라라
127,128,Portuguese (Brazil),ARB,Alara Reunida
128,129,Russian,ARB,Перерожденная Алара
129,130,Spanish,ARB,Alara renacida
130,131,Chinese Simplified,ARC,Archenemy
131,132,Chinese Traditional,ARC,Archenemy
132,133,French,ARC,Archenemy
133,134,German,ARC,Archenemy
134,135,Italian,ARC,Archenemy
135,136,Japanese,ARC,Archenemy
136,137,Korean,ARC,Archenemy
137,138,Portuguese (Brazil),ARC,Archenemy
138,139,Russian,ARC,Archenemy
139,140,Spanish,ARC,Archenemy
140,141,Chinese Simplified,BFZ,再战赞迪卡
141,142,Chinese Traditional,BFZ,再戰贊迪卡​
142,143,French,BFZ,La bataille de Zendikar
143,144,German,BFZ,Kampf um Zendikar​
144,145,Italian,BFZ,Battaglia per Zendikar​
145,146,Japanese,BFZ,『戦乱のゼンディカー』
146,147,Korean,BFZ,젠디카르 전투
147,148,Portuguese (Brazil),BFZ,Batalha por Zendikar​
148,149,Russian,BFZ,Битва за Зендикар​
149,150,Spanish,BFZ,La batalla por Zendikar​
150,151,Chinese Simplified,BNG,天神创生
151,152,Chinese Traditional,BNG,天神創生
152,153,French,BNG,Créations divines
153,154,German,BNG,Kinder der Götter
154,155,Italian,BNG,Figli degli dei
155,156,Japanese,BNG,『神々の軍勢』
156,157,Korean,BNG,신들의 피조물
157,158,Portuguese (Brazil),BNG,Nascidos dos Deuses
158,159,Russian,BNG,Порождения Богов
159,160,Spanish,BNG,Nacidos de los Dioses
160,161,Chinese Simplified,BOK,神河叛将谱
161,162,Chinese Traditional,BOK,神河叛將譜
162,163,French,BOK,Traîtres de Kamigawa
163,164,German,BOK,Verräter von Kamigawa
164,165,Italian,BOK,Traditori di Kamigawa
165,166,Japanese,BOK,神河謀叛
166,167,Korean,BOK,카미가와의 배신자들
167,168,Portuguese (Brazil),BOK,Traidores de Kamigawa
168,169,Russian,BOK,Betrayers of Kamigawa
169,170,Spanish,BOK,Traidores de Kamigawa
170,171,Chinese Simplified,BRB,Battle Royale
171,172,Chinese Traditional,BRB,Battle Royale
172,173,French,BRB,Battle Royale
173,174,German,BRB,Battle Royale
174,175,Italian,BRB,Battle Royale
175,176,Japanese,BRB,Battle Royale
176,177,Korean,BRB,Battle Royale
177,178,Portuguese (Brazil),BRB,Battle Royale
178,179,Russian,BRB,Battle Royale
179,180,Spanish,BRB,Battle Royale
180,181,Chinese Simplified,BTD,Beatdown
181,182,Chinese Traditional,BTD,Beatdown
182,183,French,BTD,Beatdown
183,184,German,BTD,Beatdown
184,185,Italian,BTD,Beatdown
185,186,Japanese,BTD,Beatdown
186,187,Korean,BTD,Beatdown
187,188,Portuguese (Brazil),BTD,Beatdown
188,189,Russian,BTD,Beatdown
189,190,Spanish,BTD,Beatdown
190,191,Chinese Simplified,C13,Commander (2013 Edition)
191,192,Chinese Traditional,C13,Commander (2013 Edition)
192,193,French,C13,Commander (2013 Edition)
193,194,German,C13,Commander (2013 Edition)
194,195,Italian,C13,Commander (2013 Edition)
195,196,Japanese,C13,Commander (2013 Edition)
196,197,Korean,C13,Commander (2013 Edition)
197,198,Portuguese (Brazil),C13,Commander (2013 Edition)
198,199,Russian,C13,Commander (2013 Edition)
199,200,Spanish,C13,Commander (2013 Edition)
200,201,Chinese Simplified,C14,Commander (2014 Edition)
201,202,Chinese Traditional,C14,Commander (2014 Edition)
202,203,French,C14,Commander (2014 Edition)
203,204,German,C14,Commander (2014 Edition)
204,205,Italian,C14,Commander (2014 Edition)
205,206,Japanese,C14,Commander (2014 Edition)
206,207,Korean,C14,Commander (2014 Edition)
207,208,Portuguese (Brazil),C14,Commander (2014 Edition)
208,209,Russian,C14,Commander (2014 Edition)
209,210,Spanish,C14,Commander (2014 Edition)
210,211,Chinese Simplified,C15,Commander (2015 Edition)
211,212,Chinese Traditional,C15,Commander (2015 Edition)
212,213,French,C15,Commander (2015 Edition)
213,214,German,C15,Commander (2015 Edition)
214,215,Italian,C15,Commander (2015 Edition)
215,216,Japanese,C15,Commander (2015 Edition)
216,217,Korean,C15,Commander (2015 Edition)
217,218,Portuguese (Brazil),C15,Commander (2015 Edition)
218,219,Russian,C15,Commander (2015 Edition)
219,220,Spanish,C15,Commander (2015 Edition)
220,221,Chinese Simplified,C16,Commander (2016 Edition)
221,222,Chinese Traditional,C16,Commander (2016 Edition)
222,223,French,C16,Commander (2016 Edition)
223,224,German,C16,Commander (2016 Edition)
224,225,Italian,C16,Commander (2016 Edition)
225,226,Japanese,C16,Commander (2016 Edition)
226,227,Korean,C16,Commander (2016 Edition)
227,228,Portuguese (Brazil),C16,Commander (2016 Edition)
228,229,Russian,C16,Commander (2016 Edition)
229,230,Spanish,C16,Commander (2016 Edition)
230,231,Chinese Simplified,C17,Commander (2017 EDITION)
231,232,Chinese Traditional,C17,Commander (2017 EDITION)
232,233,French,C17,Commander (2017 EDITION)
233,234,German,C17,Commander (2017 EDITION)
234,235,Italian,C17,Commander (2017 EDITION)
235,236,Japanese,C17,Commander (2017 EDITION)
236,237,Korean,C17,Commander (2017 EDITION)
237,238,Portuguese (Brazil),C17,Commander (2017 EDITION)
238,239,Russian,C17,Commander (2017 EDITION)
239,240,Spanish,C17,Commander (2017 EDITION)
240,241,Chinese Simplified,CHK,神河群英录
241,242,Chinese Traditional,CHK,神河群英錄
242,243,French,CHK,Guerriers de Kamigawa
243,244,German,CHK,Meister von Kamigawa
244,245,Italian,CHK,Campioni di Kamigawa
245,246,Japanese,CHK,神河物語
246,247,Korean,CHK,카미가와의 투사
247,248,Portuguese (Brazil),CHK,Campeões de Kamigawa
248,249,Russian,CHK,Champions of Kamigawa
249,250,Spanish,CHK,Campeones de Kamigawa
250,251,Chinese Simplified,CHR,Chronicles / Renaissance
251,252,Chinese Traditional,CHR,Chronicles / Renaissance
252,253,French,CHR,Chronicles / Renaissance
253,254,German,CHR,Chronicles / Renaissance
254,255,Italian,CHR,Chronicles / Renaissance
255,256,Japanese,CHR,Chronicles / Renaissance
256,257,Korean,CHR,Chronicles / Renaissance
257,258,Portuguese (Brazil),CHR,Chronicles / Renaissance
258,259,Russian,CHR,Chronicles / Renaissance
259,260,Spanish,CHR,Chronicles / Renaissance
260,261,Chinese Simplified,CM1,Commander's Arsenal
261,262,Chinese Traditional,CM1,Commander's Arsenal
262,263,French,CM1,Commander's Arsenal
263,264,German,CM1,Commander's Arsenal
264,265,Italian,CM1,Commander's Arsenal
265,266,Japanese,CM1,Commander's Arsenal
266,267,Korean,CM1,Commander's Arsenal
267,268,Portuguese (Brazil),CM1,Commander's Arsenal
268,269,Russian,CM1,Commander's Arsenal
269,270,Spanish,CM1,Commander's Arsenal
270,271,Chinese Simplified,CMD,Magic: the Gathering Commander
271,272,Chinese Traditional,CMD,Magic: the Gathering Commander
272,273,French,CMD,Magic: the Gathering Commander
273,274,German,CMD,Magic: the Gathering Commander
274,275,Italian,CMD,Magic: the Gathering Commander
275,276,Japanese,CMD,Magic: the Gathering Commander
276,277,Korean,CMD,Magic: the Gathering Commander
277,278,Portuguese (Brazil),CMD,Magic: the Gathering Commander
278,279,Russian,CMD,Magic: the Gathering Commander
279,280,Spanish,CMD,Magic: the Gathering Commander
280,281,Chinese Simplified,CN2,诡局：王权争霸
281,282,Chinese Traditional,CN2,詭局：王權爭霸
282,283,French,CN2,Conspiracy: Take the Crown
283,284,German,CN2,Conspiracy: Take the Crown
284,285,Italian,CN2,Conspiracy: Take the Crown
285,286,Japanese,CN2,『コンスピラシー：王位争奪』
286,287,Korean,CN2,음모: 왕관을 차지하라
287,288,Portuguese (Brazil),CN2,Conspiracy: Take the Crown
288,289,Russian,CN2,Conspiracy: Take the Crown
289,290,Spanish,CN2,Conspiracy: Take the Crown
290,291,Chinese Simplified,CNS,Conspiracy
291,292,Chinese Traditional,CNS,Conspiracy
292,293,French,CNS,Conspiracy
293,294,German,CNS,Conspiracy
294,295,Italian,CNS,Conspiracy
295,296,Japanese,CNS,Conspiracy
296,297,Korean,CNS,Conspiracy
297,298,Portuguese (Brazil),CNS,Conspiracy
298,299,Russian,CNS,Conspiracy
299,300,Spanish,CNS,Conspiracy
300,301,Chinese Simplified,CON,聚流
301,302,Chinese Traditional,CON,聚流
302,303,French,CON,Conflux
303,304,German,CON,Conflux
304,305,Italian,CON,Conflux
305,306,Japanese,CON,コンフラックス
306,307,Korean,CON,합일
307,308,Portuguese (Brazil),CON,Conflux
308,309,Russian,CON,Conflux
309,310,Spanish,CON,Conflux
310,311,Chinese Simplified,CSP,骤霜
311,312,Chinese Traditional,CSP,驟霜
312,313,French,CSP,Souffle glaciaire
313,314,German,CSP,Kälteeinbruch
314,315,Italian,CSP,Ondata Glaciale
315,316,Japanese,CSP,コールドスナップ
316,317,Korean,CSP,한파
317,318,Portuguese (Brazil),CSP,Frente Fria
318,319,Russian,CSP,Coldsnap
319,320,Spanish,CSP,Ola de frío
320,321,Chinese Simplified,DD1,Elves vs. Goblins
321,322,Chinese Traditional,DD1,Elves vs. Goblins
322,323,French,DD1,Elves vs. Goblins
323,324,German,DD1,Elves vs. Goblins
324,325,Italian,DD1,Elves vs. Goblins
325,326,Japanese,DD1,Elves vs. Goblins
326,327,Korean,DD1,Elves vs. Goblins
327,328,Portuguese (Brazil),DD1,Elves vs. Goblins
328,329,Russian,DD1,Elves vs. Goblins
329,330,Spanish,DD1,Elves vs. Goblins
330,331,Chinese Simplified,DD2,Jace vs. Chandra
331,332,Chinese Traditional,DD2,Jace vs. Chandra
332,333,French,DD2,Jace vs. Chandra
333,334,German,DD2,Jace vs. Chandra
334,335,Italian,DD2,Jace vs. Chandra
335,336,Japanese,DD2,Jace vs. Chandra
336,337,Korean,DD2,Jace vs. Chandra
337,338,Portuguese (Brazil),DD2,Jace vs. Chandra
338,339,Russian,DD2,Jace vs. Chandra
339,340,Spanish,DD2,Jace vs. Chandra
340,341,Chinese Simplified,DDC,Divine vs. Demonic
341,342,Chinese Traditional,DDC,Divine vs. Demonic
342,343,French,DDC,Divine vs. Demonic
343,344,German,DDC,Divine vs. Demonic
344,345,Italian,DDC,Divine vs. Demonic
345,346,Japanese,DDC,Divine vs. Demonic
346,347,Korean,DDC,Divine vs. Demonic
347,348,Portuguese (Brazil),DDC,Divine vs. Demonic
348,349,Russian,DDC,Divine vs. Demonic
349,350,Spanish,DDC,Divine vs. Demonic
350,351,Chinese Simplified,DDD,Garruk vs. Liliana
351,352,Chinese Traditional,DDD,Garruk vs. Liliana
352,353,French,DDD,Garruk vs. Liliana
353,354,German,DDD,Garruk vs. Liliana
354,355,Italian,DDD,Garruk vs. Liliana
355,356,Japanese,DDD,Garruk vs. Liliana
356,357,Korean,DDD,Garruk vs. Liliana
357,358,Portuguese (Brazil),DDD,Garruk vs. Liliana
358,359,Russian,DDD,Garruk vs. Liliana
359,360,Spanish,DDD,Garruk vs. Liliana
360,361,Chinese Simplified,DDE,Phyrexia vs. The Coalition
361,362,Chinese Traditional,DDE,Phyrexia vs. The Coalition
362,363,French,DDE,Phyrexia vs. The Coalition
363,364,German,DDE,Phyrexia vs. The Coalition
364,365,Italian,DDE,Phyrexia vs. The Coalition
365,366,Japanese,DDE,Phyrexia vs. The Coalition
366,367,Korean,DDE,Phyrexia vs. The Coalition
367,368,Portuguese (Brazil),DDE,Phyrexia vs. The Coalition
368,369,Russian,DDE,Phyrexia vs. The Coalition
369,370,Spanish,DDE,Phyrexia vs. The Coalition
370,371,Chinese Simplified,DDF,Elspeth vs. Tezzeret
371,372,Chinese Traditional,DDF,Elspeth vs. Tezzeret
372,373,French,DDF,Elspeth vs. Tezzeret
373,374,German,DDF,Elspeth vs. Tezzeret
374,375,Italian,DDF,Elspeth vs. Tezzeret
375,376,Japanese,DDF,Elspeth vs. Tezzeret
376,377,Korean,DDF,Elspeth vs. Tezzeret
377,378,Portuguese (Brazil),DDF,Elspeth vs. Tezzeret
378,379,Russian,DDF,Elspeth vs. Tezzeret
379,380,Spanish,DDF,Elspeth vs. Tezzeret
380,381,Chinese Simplified,DDG,Knights vs. Dragons
381,382,Chinese Traditional,DDG,Knights vs. Dragons
382,383,French,DDG,Knights vs. Dragons
383,384,German,DDG,Knights vs. Dragons
384,385,Italian,DDG,Knights vs. Dragons
385,386,Japanese,DDG,Knights vs. Dragons
386,387,Korean,DDG,Knights vs. Dragons
387,388,Portuguese (Brazil),DDG,Knights vs. Dragons
388,389,Russian,DDG,Knights vs. Dragons
389,390,Spanish,DDG,Knights vs. Dragons
390,391,Chinese Simplified,DDH,Ajani vs. Nicol Bolas
391,392,Chinese Traditional,DDH,Ajani vs. Nicol Bolas
392,393,French,DDH,Ajani vs. Nicol Bolas
393,394,German,DDH,Ajani vs. Nicol Bolas
394,395,Italian,DDH,Ajani vs. Nicol Bolas
395,396,Japanese,DDH,Ajani vs. Nicol Bolas
396,397,Korean,DDH,Ajani vs. Nicol Bolas
397,398,Portuguese (Brazil),DDH,Ajani vs. Nicol Bolas
398,399,Russian,DDH,Ajani vs. Nicol Bolas
399,400,Spanish,DDH,Ajani vs. Nicol Bolas
400,401,Chinese Simplified,DDI,Venser vs. Koth
401,402,Chinese Traditional,DDI,Venser vs. Koth
402,403,French,DDI,Venser vs. Koth
403,404,German,DDI,Venser vs. Koth
404,405,Italian,DDI,Venser vs. Koth
405,406,Japanese,DDI,Venser vs. Koth
406,407,Korean,DDI,Venser vs. Koth
407,408,Portuguese (Brazil),DDI,Venser vs. Koth
408,409,Russian,DDI,Venser vs. Koth
409,410,Spanish,DDI,Venser vs. Koth
410,411,Chinese Simplified,DDJ,Izzet vs. Golgari
411,412,Chinese Traditional,DDJ,Izzet vs. Golgari
412,413,French,DDJ,Izzet vs. Golgari
413,414,German,DDJ,Izzet vs. Golgari
414,415,Italian,DDJ,Izzet vs. Golgari
415,416,Japanese,DDJ,Izzet vs. Golgari
416,417,Korean,DDJ,Izzet vs. Golgari
417,418,Portuguese (Brazil),DDJ,Izzet vs. Golgari
418,419,Russian,DDJ,Izzet vs. Golgari
419,420,Spanish,DDJ,Izzet vs. Golgari
420,421,Chinese Simplified,DDK,Sorin vs. Tibalt
421,422,Chinese Traditional,DDK,Sorin vs. Tibalt
422,423,French,DDK,Sorin vs. Tibalt
423,424,German,DDK,Sorin vs. Tibalt
424,425,Italian,DDK,Sorin vs. Tibalt
425,426,Japanese,DDK,Sorin vs. Tibalt
426,427,Korean,DDK,Sorin vs. Tibalt
427,428,Portuguese (Brazil),DDK,Sorin vs. Tibalt
428,429,Russian,DDK,Sorin vs. Tibalt
429,430,Spanish,DDK,Sorin vs. Tibalt
430,431,Chinese Simplified,DDL,Heroes vs. Monsters
431,432,Chinese Traditional,DDL,Heroes vs. Monsters
432,433,French,DDL,Heroes vs. Monsters
433,434,German,DDL,Heroes vs. Monsters
434,435,Italian,DDL,Heroes vs. Monsters
435,436,Japanese,DDL,Heroes vs. Monsters
436,437,Korean,DDL,Heroes vs. Monsters
437,438,Portuguese (Brazil),DDL,Heroes vs. Monsters
438,439,Russian,DDL,Heroes vs. Monsters
439,440,Spanish,DDL,Heroes vs. Monsters
440,441,Chinese Simplified,DDM,Jace vs. Vraska
441,442,Chinese Traditional,DDM,Jace vs. Vraska
442,443,French,DDM,Jace vs. Vraska
443,444,German,DDM,Jace vs. Vraska
444,445,Italian,DDM,Jace vs. Vraska
445,446,Japanese,DDM,Jace vs. Vraska
446,447,Korean,DDM,Jace vs. Vraska
447,448,Portuguese (Brazil),DDM,Jace vs. Vraska
448,449,Russian,DDM,Jace vs. Vraska
449,450,Spanish,DDM,Jace vs. Vraska
450,451,Chinese Simplified,DDN,Speed vs. Cunning
451,452,Chinese Traditional,DDN,Speed vs. Cunning
452,453,French,DDN,Speed vs. Cunning
453,454,German,DDN,Speed vs. Cunning
454,455,Italian,DDN,Speed vs. Cunning
455,456,Japanese,DDN,Speed vs. Cunning
456,457,Korean,DDN,Speed vs. Cunning
457,458,Portuguese (Brazil),DDN,Speed vs. Cunning
458,459,Russian,DDN,Speed vs. Cunning
459,460,Spanish,DDN,Speed vs. Cunning
460,461,Chinese Simplified,DDO,Elspeth vs. Kiora
461,462,Chinese Traditional,DDO,Elspeth vs. Kiora
462,463,French,DDO,Elspeth vs. Kiora
463,464,German,DDO,Elspeth vs. Kiora
464,465,Italian,DDO,Elspeth vs. Kiora
465,466,Japanese,DDO,『デュエルデッキ: エルズペスVSキオーラ』
466,467,Korean,DDO,Elspeth vs. Kiora
467,468,Portuguese (Brazil),DDO,Elspeth vs. Kiora
468,469,Russian,DDO,Elspeth vs. Kiora
469,470,Spanish,DDO,Elspeth vs. Kiora
470,471,Chinese Simplified,DDP,Zendikar vs. Eldrazi
471,472,Chinese Traditional,DDP,Zendikar vs. Eldrazi
472,473,French,DDP,Zendikar vs. Eldrazi
473,474,German,DDP,Zendikar vs. Eldrazi
474,475,Italian,DDP,Zendikar vs. Eldrazi
475,476,Japanese,DDP,
476,477,Korean,DDP,Zendikar vs. Eldrazi
477,478,Portuguese (Brazil),DDP,Zendikar vs. Eldrazi
478,479,Russian,DDP,Zendikar vs. Eldrazi
479,480,Spanish,DDP,Zendikar vs. Eldrazi
480,481,Chinese Simplified,DDQ,Blessed vs. Cursed
481,482,Chinese Traditional,DDQ,Blessed vs. Cursed
482,483,French,DDQ,Blessed vs. Cursed
483,484,German,DDQ,Blessed vs. Cursed
484,485,Italian,DDQ,Blessed vs. Cursed
485,486,Japanese,DDQ,
486,487,Korean,DDQ,Blessed vs. Cursed
487,488,Portuguese (Brazil),DDQ,Blessed vs. Cursed
488,489,Russian,DDQ,Blessed vs. Cursed
489,490,Spanish,DDQ,Blessed vs. Cursed
490,491,Chinese Simplified,DDR,Nissa vs. Ob Nixilis
491,492,Chinese Traditional,DDR,Nissa vs. Ob Nixilis
492,493,French,DDR,Nissa vs. Ob Nixilis
493,494,German,DDR,Nissa vs. Ob Nixilis
494,495,Italian,DDR,Nissa vs. Ob Nixilis
495,496,Japanese,DDR,『デュエルデッキ：ニッサ VS オブ・ニクシリス』
496,497,Korean,DDR,Nissa vs. Ob Nixilis
497,498,Portuguese (Brazil),DDR,Nissa vs. Ob Nixilis
498,499,Russian,DDR,Nissa vs. Ob Nixilis
499,500,Spanish,DDR,Nissa vs. Ob Nixilis
500,501,Chinese Simplified,DIS,纷争
501,502,Chinese Traditional,DIS,紛爭
502,503,French,DIS,Discorde
503,504,German,DIS,Zwietracht
504,505,Italian,DIS,Discordia
505,506,Japanese,DIS,ディセンション
506,507,Korean,DIS,갈등
507,508,Portuguese (Brazil),DIS,Insurreição
508,509,Russian,DIS,Раскол
509,510,Spanish,DIS,Discordia
510,511,Chinese Simplified,DKM,Deckmasters 2001
511,512,Chinese Traditional,DKM,Deckmasters 2001
512,513,French,DKM,Deckmasters 2001
513,514,German,DKM,Deckmasters 2001
514,515,Italian,DKM,Deckmasters 2001
515,516,Japanese,DKM,Deckmasters 2001
516,517,Korean,DKM,Deckmasters 2001
517,518,Portuguese (Brazil),DKM,Deckmasters 2001
518,519,Russian,DKM,Deckmasters 2001
519,520,Spanish,DKM,Deckmasters 2001
520,521,Chinese Simplified,DOM,
521,522,Chinese Traditional,DOM,
522,523,French,DOM,Dominaria
523,524,German,DOM,
524,525,Italian,DOM,
525,526,Japanese,DOM,
526,527,Korean,DOM,
527,528,Portuguese (Brazil),DOM,
528,529,Russian,DOM,
529,530,Spanish,DOM,
530,531,Chinese Simplified,DST,玄铁
531,532,Chinese Traditional,DST,玄鐵
532,533,French,DST,Sombracier
533,534,German,DST,Nachtstahl
534,535,Italian,DST,Darksteel
535,536,Japanese,DST,ダークスティール
536,537,Korean,DST,다크스틸
537,538,Portuguese (Brazil),DST,Darksteel
538,539,Russian,DST,Darksteel
539,540,Spanish,DST,Darksteel
540,541,Chinese Simplified,DTK,鞑契龙王
541,542,Chinese Traditional,DTK,韃契龍王
542,543,French,DTK,Les dragons de Tarkir
543,544,German,DTK,Drachen von Tarkir
544,545,Italian,DTK,Draghi di Tarkir
545,546,Japanese,DTK,『タルキール龍紀伝』
546,547,Korean,DTK,타르커의 용
547,548,Portuguese (Brazil),DTK,Dragões de Tarkir
548,549,Russian,DTK,Драконы Таркира
549,550,Spanish,DTK,Dragones de Tarkir
550,551,Chinese Simplified,ELD,
551,552,Chinese Traditional,ELD,
552,553,French,ELD,Le Trône d'Eldraine
553,554,German,ELD,
554,555,Italian,ELD,
555,556,Japanese,ELD,
556,557,Korean,ELD,
557,558,Portuguese (Brazil),ELD,
558,559,Russian,ELD,
559,560,Spanish,ELD,
560,561,Chinese Simplified,EMA,Eternal Masters
561,562,Chinese Traditional,EMA,Eternal Masters
562,563,French,EMA,Eternal Masters
563,564,German,EMA,Eternal Masters
564,565,Italian,EMA,Eternal Masters
565,566,Japanese,EMA,Eternal Masters
566,567,Korean,EMA,Eternal Masters
567,568,Portuguese (Brazil),EMA,Eternal Masters
568,569,Russian,EMA,Eternal Masters
569,570,Spanish,EMA,Eternal Masters
570,571,Chinese Simplified,EMN,异月传奇
571,572,Chinese Traditional,EMN,異月傳奇
572,573,French,EMN,Confrontez les ténèbres
573,574,German,EMN,Stell dich der Dunkelheit
574,575,Italian,EMN,Affronta l’oscurità
575,576,Japanese,EMN,『異界月』
576,577,Korean,EMN,어둠과 맞서라
577,578,Portuguese (Brazil),EMN,Enfrente as Trevas
578,579,Russian,EMN,Встретьтесь с тьмой
579,580,Spanish,EMN,Luna de horrores
580,581,Chinese Simplified,EVE,暮光
581,582,Chinese Traditional,EVE,暮光
582,583,French,EVE,Coucheciel
583,584,German,EVE,Abendkühle
584,585,Italian,EVE,Vespro
585,586,Japanese,EVE,イーブンタイド
586,587,Korean,EVE,일몰
587,588,Portuguese (Brazil),EVE,Entardecer
588,589,Russian,EVE,Сумерки
589,590,Spanish,EVE,Crepúsculo
590,591,Chinese Simplified,EXO,
591,592,Chinese Traditional,EXO,
592,593,French,EXO,Exode
593,594,German,EXO,
594,595,Italian,EXO,
595,596,Japanese,EXO,
596,597,Korean,EXO,
597,598,Portuguese (Brazil),EXO,
598,599,Russian,EXO,
599,600,Spanish,EXO,
600,601,Chinese Simplified,FRF,龙命殊途
601,602,Chinese Traditional,FRF,龍命殊途
602,603,French,FRF,Destin Reforgé
603,604,German,FRF,Schmiede des Schicksals
604,605,Italian,FRF,Riforgiare il Destino
605,606,Japanese,FRF,『運命再編』
606,607,Korean,FRF,재창조된 운명
607,608,Portuguese (Brazil),FRF,Destino Reescrito
608,609,Russian,FRF,Перекованная Судьба
609,610,Spanish,FRF,Destino Reescrito
610,611,Chinese Simplified,FUT,预知将来
611,612,Chinese Traditional,FUT,Future Sight
612,613,French,FUT,Vision de l'avenir
613,614,German,FUT,Blick in die Zukunft
